title,country,jurisdiction,year,court,offense_type,age_group,facts,summary,outcome,source_url
In re C-0692 (Child),United Kingdom,Northern Ireland,2020,Youth Court Belfast,truancy,15-17,15-year-old chronically absent from school; 30 unexcused days. First offense.,Juvenile truancy case with no prior record in Northern Ireland.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0123,United States,Massachusetts,2019,Suffolk Juvenile Court,assault,15-17,16-year-old involved in a community center fight causing superficial scratches to peer. No weapon.,assault matter involving 15-17 juvenile in Massachusetts.,Restitution; informal probation.,https://www.courtlistener.com/
R v. Y-0887 (Youth),United Kingdom,Wales,2024,Youth Court Cardiff,burglary,under 14,Break-in at a local shop; 13-year-old suspect identified. First offense.,burglary incident at local shop; minor in under 14 age group.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
In re C-0644 (Child),United Kingdom,England,2021,Youth Court Manchester,harassment,under 14,13-year-old sent repeated threatening messages to peer via WhatsApp. No prior record.,harassment incident at retail store; minor in under 14 age group.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0314),India,Gujarat,2019,JJ Board Ahmedabad,robbery,under 14,Strong-arm robbery allegation: 14-year-old and a community center. First contact with juvenile court.,robbery incident at community center; minor in under 14 age group.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
State v. Minor-0199,United States,Arizona,2024,Maricopa County Juvenile Court,trespass,under 14,14-year-old entered restricted a public park after hours. One prior warning only.,trespass matter involving under 14 juvenile in Arizona.,Anger management; probation 9 months.,https://www.courtlistener.com/
State v. Minor-0008,United States,North Carolina,2019,Mecklenburg Juvenile Court,vandalism,15-17,17-year-old damaged a bus shelter at school. No prior record.,Juvenile vandalism case with no prior record in North Carolina.,Probation 6 months; counseling.,https://www.courtlistener.com/
In re J.D.-0230,United States,Michigan,2023,Wayne County Juvenile Court,cybercrime,15-17,15-year-old shared private photos online at school. No financial gain. First offense.,Juvenile cybercrime case with no prior record in Michigan.,Anger management; probation 9 months.,https://www.courtlistener.com/
State v. Minor-0268,United States,Massachusetts,2024,Suffolk Juvenile Court,harassment,15-17,17-year-old sent repeated threatening messages to peer via text messages. First offense.,harassment incident at public park; minor in 15-17 age group.,Anger management; probation 9 months.,https://www.courtlistener.com/
In re J.D.-0295,United States,Pennsylvania,2021,Philadelphia Family Court,cybercrime,15-17,Juvenile circulated exam answers digitally using personal device. Victim notified school. One prior warning only.,cybercrime matter involving 15-17 juvenile in Pennsylvania.,Anger management; probation 9 months.,https://www.courtlistener.com/
In re C-0792 (Child),United Kingdom,England,2018,Youth Court Birmingham,curfew violation,under 14,14-year-old found in public at a retail store after curfew. No prior delinquency history.,curfew violation incident at retail store; minor in under 14 age group.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
In re Child 0500,India,Uttar Pradesh,2021,JJ Board Lucknow,runaway,15-17,15-year-old left home and found at a community center. Family conflict reported. No prior record.,runaway matter involving 15-17 juvenile in Uttar Pradesh.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
In re Child 0329,India,Maharashtra,2021,Juvenile Justice Board Mumbai,drug possession,15-17,Minor discovered carrying alcohol during a community center search. No prior record.,drug possession matter involving 15-17 juvenile in Maharashtra.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
In re C-0625 (Child),United Kingdom,Scotland,2020,Sheriff Court Glasgow,shoplifting,15-17,Minor stole sporting goods from a neighbor's garage; apprehended by security. One prior warning only.,Juvenile shoplifting case with limited history in Scotland.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0017,United States,Florida,2021,Miami-Dade Juvenile Court,theft,15-17,15-year-old stole school supplies from a transit station. First contact with juvenile court.,theft incident at transit station; minor in 15-17 age group.,House arrest 30 days; probation.,https://www.courtlistener.com/
In re Minor 0333,India,Delhi,2020,JJ Board Delhi,theft,under 14,13-year-old stole a mobile phone from a public park. One prior warning only.,Juvenile theft case with limited history in Delhi.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
In re Minor 0573,India,Odisha,2021,JJ Board Bhubaneswar,drug possession,15-17,Minor discovered carrying marijuana during a public park search. First offense.,Juvenile drug possession case with no prior record in Odisha.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
In re Minor 0396,India,West Bengal,2018,JJ Board Kolkata,weapon possession,under 14,13-year-old found with a pocketknife at a recreation center. Not used. No prior record.,Juvenile weapon possession case with no prior record in West Bengal.,Community service; probation.,https://services.ecourts.gov.in/
Matter of Youth-0270,United States,Florida,2024,Miami-Dade Juvenile Court,shoplifting,under 14,14-year-old apprehended shoplifting sporting goods from a retail store. No prior delinquency history.,shoplifting matter involving under 14 juvenile in Florida.,House arrest 30 days; probation.,https://www.courtlistener.com/
In re Minor 0532,India,Odisha,2022,JJ Board Bhubaneswar,runaway,15-17,Runaway minor located after two days; Child referred by school counselor. No prior delinquency history.,Juvenile runaway case with no prior record in Odisha.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
In re Minor 0502,India,Bihar,2023,JJ Board Patna,theft,under 14,Theft reported: 14-year-old took snacks belonging to another at a retail store. First contact with juvenile court.,Juvenile theft case with no prior record in Bihar.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
In re C-0662 (Child),United Kingdom,Wales,2022,Youth Court Swansea,weapon possession,under 14,14-year-old found with a pocketknife at a recreation center. Not used. First offense.,Juvenile weapon possession case with no prior record in Wales.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0027,United States,Washington,2019,King County Juvenile Court,curfew violation,under 14,Repeated curfew violations by 13-year-old in a recreation center. First contact with juvenile court.,curfew violation incident at recreation center; minor in under 14 age group.,Probation 12 months; community service.,https://www.courtlistener.com/
X v. State (JJ-0375),India,Uttar Pradesh,2020,JJ Board Lucknow,drug possession,15-17,Minor discovered carrying prescription pills during a local shop search. No prior delinquency history.,drug possession incident at local shop; minor in 15-17 age group.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
R v. Minor 0769,United Kingdom,England,2018,Youth Court London,drug possession,15-17,16-year-old found with marijuana at a public park. No prior delinquency history.,Juvenile drug possession case with no prior record in England.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
R v. Minor 0804,United Kingdom,England,2024,Youth Court Bristol,arson,15-17,17-year-old set fire to a classroom window at a recreation center. Minimal damage. First offense.,arson matter involving 15-17 juvenile in England.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
R v. Minor 0728,United Kingdom,England,2022,Youth Court Manchester,drug possession,15-17,16-year-old found with marijuana at a retail store. First contact with juvenile court.,drug possession matter involving 15-17 juvenile in England.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0574),India,Haryana,2018,JJ Board Gurugram,assault,under 14,13-year-old involved in a transit station fight causing minor bruising to peer. No weapon.,Juvenile assault case with no prior record in Haryana.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
Matter of Youth-0109,United States,Pennsylvania,2022,Philadelphia Family Court,shoplifting,under 14,13-year-old apprehended shoplifting snacks from a community center. First contact with juvenile court.,shoplifting incident at community center; minor in under 14 age group.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
X v. State (JJ-0517),India,Karnataka,2019,JJ Board Bengaluru,runaway,under 14,13-year-old left home and found at a retail store. Alleged neglect at home. First contact with juvenile court.,runaway incident at retail store; minor in under 14 age group.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
In re J.D.-0229,United States,North Carolina,2019,Mecklenburg Juvenile Court,theft,under 14,Theft reported: 14-year-old took snacks belonging to another at a local shop. No prior record.,Juvenile theft case with no prior record in North Carolina.,Youth education program; supervised release.,https://www.courtlistener.com/
State v. Minor-0105,United States,Michigan,2019,Wayne County Juvenile Court,harassment,under 14,Bullying complaint: 13-year-old harassed classmate at a community center. First contact with juvenile court.,harassment matter involving under 14 juvenile in Michigan.,Youth education program; supervised release.,https://www.courtlistener.com/
In re Minor 0379,India,Madhya Pradesh,2024,JJ Board Bhopal,shoplifting,under 14,Minor stole cosmetics from a transit station; apprehended by security. One prior warning only.,shoplifting incident at transit station; minor in under 14 age group.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
R v. Y-0842 (Youth),United Kingdom,Scotland,2018,Sheriff Court Glasgow,assault,15-17,School altercation: 17-year-old struck another student at a recreation center. No prior record.,assault matter involving 15-17 juvenile in Scotland.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
In re C-0623 (Child),United Kingdom,England,2024,Youth Court Bristol,runaway,under 14,Runaway minor located after two days; Alleged neglect at home. No prior record.,Juvenile runaway case with no prior record in England.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
In re Minor 0543,India,Karnataka,2018,JJ Board Bengaluru,drug possession,under 14,13-year-old found with alcohol at a transit station. One prior warning only.,Juvenile drug possession case with limited history in Karnataka.,Community service; probation.,https://services.ecourts.gov.in/
R v. Y-0783 (Youth),United Kingdom,Wales,2018,Youth Court Cardiff,arson,15-17,Fire incident at a neighbor's garage; 15-year-old admitted involvement. No prior record.,arson incident at neighbor's garage; minor in 15-17 age group.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0803 (Youth),United Kingdom,England,2021,Youth Court Bristol,weapon possession,15-17,15-year-old found with a metal pipe at a community center. Not used. No prior delinquency history.,weapon possession matter involving 15-17 juvenile in England.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
In re C-0712 (Child),United Kingdom,Northern Ireland,2024,Youth Court Belfast,assault,15-17,School altercation: 17-year-old struck another student at a neighbor's garage. No prior delinquency history.,assault incident at neighbor's garage; minor in 15-17 age group.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0227,United States,New York,2018,Kings County Family Court,weapon possession,15-17,15-year-old found with a metal pipe at a public park. Not used. First contact with juvenile court.,weapon possession matter involving 15-17 juvenile in New York.,House arrest 30 days; probation.,https://www.courtlistener.com/
In re C-0604 (Child),United Kingdom,Scotland,2024,Sheriff Court Edinburgh,harassment,15-17,17-year-old sent repeated threatening messages to peer via TikTok. First offense.,harassment matter involving 15-17 juvenile in Scotland.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
In re Minor 0414,India,Odisha,2020,JJ Board Bhubaneswar,burglary,under 14,Break-in at school; 14-year-old suspect identified. First offense.,burglary matter involving under 14 juvenile in Odisha.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
In re J.D.-0176,United States,California,2018,Los Angeles Juvenile Court,drug possession,15-17,15-year-old found with marijuana at a public park. First contact with juvenile court.,drug possession matter involving 15-17 juvenile in California.,House arrest 30 days; probation.,https://www.courtlistener.com/
R v. Y-0806 (Youth),United Kingdom,Scotland,2024,Sheriff Court Edinburgh,curfew violation,15-17,16-year-old found in public at a neighbor's garage after curfew. No prior record.,curfew violation matter involving 15-17 juvenile in Scotland.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0835 (Youth),United Kingdom,England,2024,Youth Court Bristol,robbery,15-17,Strong-arm robbery allegation: 17-year-old and school. No prior delinquency history.,Juvenile robbery case with no prior record in England.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
In re Minor 0399,India,Odisha,2021,JJ Board Bhubaneswar,robbery,under 14,Strong-arm robbery allegation: 14-year-old and school. No prior record.,robbery incident at school; minor in under 14 age group.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
In re Child 0352,India,Delhi,2020,JJ Board Delhi,truancy,15-17,15-year-old chronically absent from a retail store; 40 unexcused days. First contact with juvenile court.,Juvenile truancy case with no prior record in Delhi.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
State v. Minor-0183,United States,Illinois,2024,Cook County Juvenile Court,truancy,under 14,Habitual truancy petition for 13-year-old failing to attend a local shop. One prior warning only.,Juvenile truancy case with limited history in Illinois.,Restitution; informal probation.,https://www.courtlistener.com/
X v. State (JJ-0495),India,Karnataka,2022,JJ Board Bengaluru,harassment,under 14,Bullying complaint: 14-year-old harassed classmate at a community center. First contact with juvenile court.,harassment matter involving under 14 juvenile in Karnataka.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
R v. Minor 0740,United Kingdom,England,2018,Youth Court Leeds,curfew violation,under 14,13-year-old found in public at a local shop after curfew. First offense.,Juvenile curfew violation case with no prior record in England.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
In re Child 0346,India,Delhi,2018,JJ Board Delhi,cybercrime,15-17,Juvenile sent phishing messages to classmates using personal device. Victim notified school. No prior delinquency history.,Juvenile cybercrime case with no prior record in Delhi.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
In re C-0780 (Child),United Kingdom,Wales,2024,Youth Court Cardiff,weapon possession,15-17,15-year-old found with a metal pipe at a recreation center. Not used. First contact with juvenile court.,Juvenile weapon possession case with no prior record in Wales.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0808 (Youth),United Kingdom,Scotland,2018,Sheriff Court Edinburgh,burglary,15-17,Break-in at a local shop; 16-year-old suspect identified. No prior record.,Juvenile burglary case with no prior record in Scotland.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0192,United States,Illinois,2018,Cook County Juvenile Court,arson,under 14,13-year-old set fire to a bench at a local shop. Minimal damage. First offense.,arson matter involving under 14 juvenile in Illinois.,Probation 6 months; counseling.,https://www.courtlistener.com/
In re Minor 0336,India,Telangana,2024,JJ Board Hyderabad,assault,under 14,14-year-old involved in a recreation center fight causing minor bruising to peer. No weapon.,assault matter involving under 14 juvenile in Telangana.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
In re C-0697 (Child),United Kingdom,England,2024,Youth Court London,cybercrime,under 14,Juvenile accessed school network without authorization using personal device. Victim notified school. One prior warning only.,cybercrime matter involving under 14 juvenile in England.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
In re C-0701 (Child),United Kingdom,England,2018,Youth Court London,drug possession,under 14,14-year-old found with marijuana at a neighbor's garage. No prior delinquency history.,Juvenile drug possession case with no prior record in England.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
State v. Minor-0082,United States,Georgia,2022,Fulton County Juvenile Court,burglary,under 14,Break-in at a neighbor's garage; 13-year-old suspect identified. No prior delinquency history.,Juvenile burglary case with no prior record in Georgia.,House arrest 30 days; probation.,https://www.courtlistener.com/
State v. Minor-0267,United States,Ohio,2023,Cuyahoga County Juvenile Court,shoplifting,15-17,16-year-old apprehended shoplifting sporting goods from a public park. No prior record.,shoplifting incident at public park; minor in 15-17 age group.,Probation 12 months; community service.,https://www.courtlistener.com/
In re J.D.-0169,United States,Georgia,2022,Fulton County Juvenile Court,cybercrime,15-17,Juvenile created fake social media accounts using personal device. Victim notified school. No prior record.,cybercrime matter involving 15-17 juvenile in Georgia.,Anger management; probation 9 months.,https://www.courtlistener.com/
In re Child 0415,India,Tamil Nadu,2024,JJ Board Chennai,weapon possession,15-17,15-year-old found with a metal pipe at a transit station. Not used. One prior warning only.,weapon possession incident at transit station; minor in 15-17 age group.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
In re Minor 0349,India,Bihar,2022,JJ Board Patna,curfew violation,under 14,14-year-old found in public at a transit station after curfew. No prior delinquency history.,curfew violation matter involving under 14 juvenile in Bihar.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
State v. Minor-0106,United States,Illinois,2024,Cook County Juvenile Court,vandalism,under 14,Minor spray-painted playground equipment; identified via surveillance at a transit station. No prior delinquency history.,vandalism matter involving under 14 juvenile in Illinois.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
X v. State (JJ-0587),India,Gujarat,2020,JJ Board Ahmedabad,assault,15-17,School altercation: 17-year-old struck another student at a transit station. One prior warning only.,assault incident at transit station; minor in 15-17 age group.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
In re Child 0560,India,Bihar,2018,JJ Board Patna,shoplifting,15-17,Minor stole a mobile phone from a neighbor's garage; apprehended by security. No prior delinquency history.,shoplifting incident at neighbor's garage; minor in 15-17 age group.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
Matter of Youth-0200,United States,New York,2018,Kings County Family Court,harassment,15-17,17-year-old sent repeated threatening messages to peer via Instagram. No prior delinquency history.,Juvenile harassment case with no prior record in New York.,Youth education program; supervised release.,https://www.courtlistener.com/
In re J.D.-0228,United States,Illinois,2022,Cook County Juvenile Court,cybercrime,under 14,Juvenile circulated exam answers digitally using personal device. Victim notified school. No prior delinquency history.,Juvenile cybercrime case with no prior record in Illinois.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
In re Minor 0401,India,Odisha,2023,JJ Board Bhubaneswar,assault,15-17,School altercation: 16-year-old struck another student at a transit station. No prior record.,assault incident at transit station; minor in 15-17 age group.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
In re C-0852 (Child),United Kingdom,England,2024,Youth Court Manchester,truancy,under 14,Habitual truancy petition for 14-year-old failing to attend a community center. One prior warning only.,truancy incident at community center; minor in under 14 age group.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
In re Minor 0590,India,Haryana,2021,JJ Board Gurugram,weapon possession,15-17,17-year-old found with pepper spray at school. Not used. First offense.,weapon possession matter involving 15-17 juvenile in Haryana.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
R v. Minor 0758,United Kingdom,Wales,2020,Youth Court Cardiff,truancy,15-17,15-year-old chronically absent from a community center; 22 unexcused days. No prior delinquency history.,truancy matter involving 15-17 juvenile in Wales.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0546),India,Madhya Pradesh,2019,JJ Board Bhopal,arson,15-17,Fire incident at a local shop; 17-year-old admitted involvement. No prior delinquency history.,arson incident at local shop; minor in 15-17 age group.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
R v. Minor 0700,United Kingdom,Scotland,2024,Sheriff Court Glasgow,vandalism,15-17,Minor spray-painted a classroom window; identified via surveillance at a transit station. First contact with juvenile court.,vandalism incident at transit station; minor in 15-17 age group.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0137,United States,Arizona,2024,Maricopa County Juvenile Court,arson,15-17,Fire incident at a community center; 16-year-old admitted involvement. No prior record.,arson incident at community center; minor in 15-17 age group.,Restitution; informal probation.,https://www.courtlistener.com/
In re C-0650 (Child),United Kingdom,Northern Ireland,2018,Youth Court Belfast,weapon possession,15-17,Security search at a neighbor's garage revealed a metal pipe in 16-year-old's bag. First offense.,weapon possession matter involving 15-17 juvenile in Northern Ireland.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
State v. Minor-0253,United States,North Carolina,2021,Mecklenburg Juvenile Court,runaway,15-17,15-year-old left home and found at a transit station. Child referred by school counselor. No prior record.,Juvenile runaway case with no prior record in North Carolina.,Youth education program; supervised release.,https://www.courtlistener.com/
R v. Y-0654 (Youth),United Kingdom,Scotland,2018,Sheriff Court Glasgow,robbery,15-17,Strong-arm robbery allegation: 17-year-old and a recreation center. No prior delinquency history.,Juvenile robbery case with no prior record in Scotland.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0860 (Youth),United Kingdom,England,2023,Youth Court Birmingham,shoplifting,15-17,17-year-old apprehended shoplifting snacks from a local shop. First offense.,Juvenile shoplifting case with no prior record in England.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0302,United States,Virginia,2019,Fairfax Juvenile Court,burglary,15-17,17-year-old entered a local shop without permission and took school supplies. No prior delinquency history.,burglary matter involving 15-17 juvenile in Virginia.,Probation 12 months; community service.,https://www.courtlistener.com/
R v. Y-0627 (Youth),United Kingdom,Scotland,2024,Sheriff Court Edinburgh,drug possession,15-17,17-year-old found with alcohol at a community center. No prior record.,Juvenile drug possession case with no prior record in Scotland.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0362),India,Punjab,2018,JJ Board Chandigarh,trespass,15-17,Unauthorized entry to a recreation center by 17-year-old. First offense.,trespass incident at recreation center; minor in 15-17 age group.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
In re J.D.-0144,United States,Colorado,2023,Denver Juvenile Court,robbery,15-17,Strong-arm robbery allegation: 16-year-old and a neighbor's garage. First contact with juvenile court.,robbery matter involving 15-17 juvenile in Colorado.,Probation 12 months; community service.,https://www.courtlistener.com/
R v. Y-0873 (Youth),United Kingdom,Wales,2021,Youth Court Cardiff,shoplifting,under 14,Minor stole school supplies from a transit station; apprehended by security. One prior warning only.,shoplifting incident at transit station; minor in under 14 age group.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
In re Child 0404,India,Gujarat,2021,JJ Board Ahmedabad,arson,15-17,16-year-old set fire to lockers at a retail store. Minimal damage. One prior warning only.,arson incident at retail store; minor in 15-17 age group.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
R v. Minor 0608,United Kingdom,England,2020,Youth Court Bristol,cybercrime,under 14,13-year-old accessed school network without authorization at a retail store. No financial gain. No prior record.,Juvenile cybercrime case with no prior record in England.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0472),India,Uttar Pradesh,2023,JJ Board Lucknow,burglary,15-17,16-year-old entered school without permission and took clothing. One prior warning only.,burglary incident at school; minor in 15-17 age group.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
In re Minor 0403,India,Haryana,2018,JJ Board Gurugram,arson,under 14,14-year-old set fire to lockers at a community center. Minimal damage. One prior warning only.,arson matter involving under 14 juvenile in Haryana.,Community service; probation.,https://services.ecourts.gov.in/
R v. Minor 0864,United Kingdom,England,2023,Youth Court London,robbery,15-17,17-year-old took school supplies from peer at a neighbor's garage using implied force. One prior warning only.,robbery matter involving 15-17 juvenile in England.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
State v. Minor-0187,United States,North Carolina,2018,Mecklenburg Juvenile Court,weapon possession,15-17,17-year-old found with pepper spray at school. Not used. First contact with juvenile court.,Juvenile weapon possession case with no prior record in North Carolina.,Probation 6 months; counseling.,https://www.courtlistener.com/
Matter of Youth-0258,United States,Virginia,2020,Fairfax Juvenile Court,shoplifting,15-17,Minor stole sporting goods from a recreation center; apprehended by security. One prior warning only.,Juvenile shoplifting case with limited history in Virginia.,Probation 6 months; counseling.,https://www.courtlistener.com/
In re J.D.-0275,United States,California,2024,Los Angeles Juvenile Court,cybercrime,15-17,15-year-old sent phishing messages to classmates at a transit station. No financial gain. First contact with juvenile court.,Juvenile cybercrime case with no prior record in California.,Youth education program; supervised release.,https://www.courtlistener.com/
In re Minor 0384,India,Haryana,2019,JJ Board Gurugram,vandalism,under 14,Minor spray-painted a classroom window; identified via surveillance at a recreation center. No prior record.,vandalism incident at recreation center; minor in under 14 age group.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
In re Child 0351,India,West Bengal,2023,JJ Board Kolkata,runaway,15-17,Runaway minor located after five days; Family conflict reported. One prior warning only.,Juvenile runaway case with limited history in West Bengal.,Community service; probation.,https://services.ecourts.gov.in/
R v. Minor 0765,United Kingdom,Wales,2019,Youth Court Cardiff,harassment,under 14,Bullying complaint: 13-year-old harassed classmate at a community center. First offense.,Juvenile harassment case with no prior record in Wales.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
In re C-0798 (Child),United Kingdom,England,2023,Youth Court Bristol,robbery,under 14,Strong-arm robbery allegation: 13-year-old and a transit station. No prior record.,Juvenile robbery case with no prior record in England.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0181,United States,Michigan,2018,Wayne County Juvenile Court,curfew violation,15-17,Repeated curfew violations by 16-year-old in a local shop. No prior delinquency history.,curfew violation matter involving 15-17 juvenile in Michigan.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
R v. Y-0890 (Youth),United Kingdom,England,2021,Youth Court Bristol,vandalism,under 14,Minor spray-painted a classroom window; identified via surveillance at a public park. No prior delinquency history.,vandalism matter involving under 14 juvenile in England.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0287,United States,Ohio,2024,Cuyahoga County Juvenile Court,assault,under 14,School altercation: 14-year-old struck another student at a public park. First offense.,assault matter involving under 14 juvenile in Ohio.,Youth education program; supervised release.,https://www.courtlistener.com/
Matter of Youth-0172,United States,Washington,2021,King County Juvenile Court,cybercrime,15-17,15-year-old created fake social media accounts at a recreation center. No financial gain. First offense.,Juvenile cybercrime case with no prior record in Washington.,Anger management; probation 9 months.,https://www.courtlistener.com/
State v. Minor-0128,United States,New York,2022,Kings County Family Court,drug possession,under 14,Minor discovered carrying prescription pills during a transit station search. No prior record.,drug possession matter involving under 14 juvenile in New York.,Restitution; informal probation.,https://www.courtlistener.com/
In re C-0690 (Child),United Kingdom,England,2022,Youth Court Bristol,weapon possession,15-17,17-year-old found with a BB gun at a transit station. Not used. First offense.,Juvenile weapon possession case with no prior record in England.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0032,United States,Florida,2019,Miami-Dade Juvenile Court,shoplifting,15-17,17-year-old apprehended shoplifting a bicycle from a public park. One prior warning only.,shoplifting incident at public park; minor in 15-17 age group.,Restitution; informal probation.,https://www.courtlistener.com/
R v. Minor 0870,United Kingdom,England,2024,Youth Court Bristol,shoplifting,15-17,Minor stole sporting goods from a public park; apprehended by security. First contact with juvenile court.,shoplifting matter involving 15-17 juvenile in England.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
In re Child 0583,India,Madhya Pradesh,2024,JJ Board Bhopal,shoplifting,15-17,16-year-old apprehended shoplifting electronics from a recreation center. First offense.,shoplifting matter involving 15-17 juvenile in Madhya Pradesh.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
In re Minor 0468,India,Gujarat,2023,JJ Board Ahmedabad,theft,under 14,Theft reported: 14-year-old took clothing belonging to another at a retail store. First offense.,theft incident at retail store; minor in under 14 age group.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
R v. Y-0703 (Youth),United Kingdom,England,2023,Youth Court Birmingham,cybercrime,15-17,Juvenile created fake social media accounts using personal device. Victim notified school. No prior record.,cybercrime matter involving 15-17 juvenile in England.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
In re Child 0340,India,Punjab,2022,JJ Board Chandigarh,weapon possession,under 14,Security search at a community center revealed a metal pipe in 14-year-old's bag. First offense.,Juvenile weapon possession case with no prior record in Punjab.,Community service; probation.,https://services.ecourts.gov.in/
In re C-0635 (Child),United Kingdom,Wales,2020,Youth Court Swansea,vandalism,15-17,15-year-old damaged a bench at a neighbor's garage. First contact with juvenile court.,vandalism matter involving 15-17 juvenile in Wales.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0746 (Youth),United Kingdom,Scotland,2024,Sheriff Court Glasgow,curfew violation,under 14,Repeated curfew violations by 13-year-old in school. No prior record.,curfew violation incident at school; minor in under 14 age group.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0391),India,Uttar Pradesh,2021,JJ Board Lucknow,weapon possession,15-17,16-year-old found with a metal pipe at a neighbor's garage. Not used. No prior delinquency history.,weapon possession matter involving 15-17 juvenile in Uttar Pradesh.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
